"Gene","mean_Control","mean_GHR-KO","sd_Control","sd_GHR-KO","Cohens.d_genotype","mean_Female","mean_Male","sd_Female","sd_Male","Cohens.d_sex","anova_p_val_genotype","anova_p_val_sex","anova_p_val_genotype:sex","adjusted_p_val_genotype","adjusted_p_val_sex","adjusted_p_val_genotype:sex","4721","4945","4715","4718","4524","4722","4716","4717","THSD_pair"
"A1BG",30.109588625,29.75695753,0.475360326789677,0.17469648252496,-0.984699043741276,30.138938905,29.72760725,0.454411315617122,0.141774339598317,-1.22204482870081,0.151453308899277,0.107894269817256,0.297830450907069,0.54376466660452,0.479678438323069,0.678130066198049,30.01863289,29.66837692,29.65911484,29.68170547,30.75764084,30.11110497,29.63157463,29.93803406,NA
"A2M",32.9119386675,31.85751772,0.517182888798624,0.334405780010627,-2.42122154387154,32.589063645,32.1803927425,0.788268265208968,0.622735572737582,-0.575317139544918,0.024329724222194,0.243586142107274,0.521145531304787,0.247548160580464,0.638189474423366,0.812141014093998,32.28595734,31.62766647,31.55901146,31.95743561,33.06565857,33.3769722,32.17179489,33.03332901,NA
"AAK1",26.613149165,26.4329156875,0.254180917147915,0.0537932752159974,-0.981054759987651,26.547418595,26.4986462575,0.14007096165909,0.260676091100693,-0.233080630954081,0.314464169182064,0.77132043413963,0.892426817697233,0.688123258884477,0.927275344452298,0.970301456582624,26.45970154,26.47749138,26.3558197,26.43865013,26.49614525,26.75633621,26.88227081,26.31784439,NA
"AAMDC",26.6438341125,27.7387156475,1.67334264412425,0.0806745855566692,0.924257763813144,26.8607707,27.52177906,1.80383927608954,0.246245558807216,0.513469564976006,0.293118664534808,0.505781274068464,0.480774650880803,0.674935537558505,0.806245397277453,0.788764575289546,27.73317909,27.7863121,27.627285,27.8080864,27.7683773,24.15521431,27.40348816,27.24825668,NA
"AARS1",29.9738497725,30.3698911675,0.0630618392371435,0.0375749283607103,7.62982808589065,30.20120859,30.14253235,0.203929365522565,0.257044889002265,-0.252901599881838,0.000114239227123223,0.0899574397978979,0.176876978479812,0.0360776266887994,0.444112258609409,0.574617750861093,30.37077522,30.38453102,30.40628815,30.31797028,30.01651001,30.03301811,29.94962883,29.89624214,NA
"AARSD1",25.6794385925,26.163624285,0.898067827837462,0.153265131803815,0.751594704418346,25.6094250675,26.23363781,0.84929207940383,0.0724463882261357,1.03565764317579,0.312235723348678,0.210578343976559,0.403508491709127,0.68640673775338,0.610974834767324,0.742718573345256,26.13339806,25.96073341,26.25547981,26.30488586,26.00330925,24.34025955,26.24121857,26.132967,NA
"AASDHPPT",24.9451794625,24.992228985,0.32288333762092,0.164240021290646,0.183677620418597,25.094677925,24.8427305225,0.229765131021875,0.193891365203812,-1.18515347738737,0.778104854592785,0.181792834939114,0.291474892946332,0.931479656081259,0.579303093641572,0.673173225787967,24.84143829,25.20545769,25.03439522,24.88762474,24.97640038,25.35541534,24.87619209,24.57271004,NA
"ABAT",28.3709011075,27.61634779,0.149482590843735,0.207047114731261,-4.17865003906413,27.9788384425,28.008410455,0.457274285703674,0.484868968900597,0.0627491332602271,0.00791327856234582,0.856411432605936,0.740061843362889,0.153971398756923,0.957776392417235,0.916241989069228,27.85691452,27.4007225,27.71325684,27.4944973,28.45767593,28.20004082,28.52865219,28.29723549,NA
"ABCB6",23.927892685,24.7883625025,0.280046331727738,0.61974552338502,1.78932759141629,24.276086805,24.4401683825,0.589032839884278,0.768900386077541,0.23957121246011,0.0783846280424603,0.677075786013617,0.378181593263758,0.418597948602082,0.893193621861838,0.728931704762611,23.89598083,25.15437317,24.84732819,25.25576782,24.04844093,24.00555229,24.14109612,23.5164814,NA
"ABCC3",25.519231795,25.6394090675,0.126870116574318,0.196446713737559,0.726764909144059,25.5203504575,25.638290405,0.132789969957767,0.193414904896116,0.710930008480717,0.212832907938636,0.219881749926726,0.0655103704091,0.612889055341205,0.619686514417202,0.390071255844917,25.42592049,25.53058815,25.85718918,25.74393845,25.42043686,25.70445633,25.46045303,25.49158096,NA
