x	y
30	0.86541
29.99	0.865412
29.98	0.865414
29.97	0.865416
29.96	0.865418
29.95	0.86542
29.94	0.865422
29.93	0.865424
29.92	0.865426
29.91	0.865428
29.9	0.86543
29.89	0.865432
29.88	0.865434
29.87	0.865436
29.86	0.865438
29.85	0.86544
29.84	0.865442
29.83	0.865444
29.82	0.865445
29.81	0.865448
29.8	0.865449
29.79	0.865452
29.78	0.865453
29.77	0.865456
29.76	0.865457
29.75	0.86546
29.74	0.865462
29.73	0.865463
29.72	0.865466
29.71	0.865468
29.7	0.86547
29.69	0.865472
29.68	0.865474
29.67	0.865476
29.66	0.865478
29.65	0.86548
29.64	0.865482
29.63	0.865484
29.62	0.865486
29.61	0.865488
29.6	0.86549
29.59	0.865492
29.58	0.865494
29.57	0.865496
29.56	0.865498
29.55	0.8655
29.54	0.865502
29.53	0.865504
29.52	0.865506
29.51	0.865508
29.5	0.86551
29.49	0.865512
29.48	0.865514
29.47	0.865516
29.46	0.865518
29.45	0.86552
29.44	0.865522
29.43	0.865524
29.42	0.865526
29.41	0.865528
29.4	0.86553
29.39	0.865533
29.38	0.865535
29.37	0.865537
29.36	0.865539
29.35	0.865541
29.34	0.865543
29.33	0.865545
29.32	0.865547
29.31	0.865549
29.3	0.865551
29.29	0.865553
29.28	0.865555
29.27	0.865557
29.26	0.865559
29.25	0.865561
29.24	0.865564
29.23	0.865566
29.22	0.865568
29.21	0.86557
29.2	0.865572
29.19	0.865574
29.18	0.865576
29.17	0.865578
29.16	0.86558
29.15	0.865582
29.14	0.865584
29.13	0.865586
29.12	0.865589
29.11	0.865591
29.1	0.865593
29.09	0.865595
29.08	0.865597
29.07	0.865599
29.06	0.865601
29.05	0.865603
29.04	0.865605
29.03	0.865607
29.02	0.86561
29.01	0.865612
29	0.865614
28.99	0.865616
28.98	0.865618
28.97	0.86562
28.96	0.865622
28.95	0.865624
28.94	0.865626
28.93	0.865629
28.92	0.865631
28.91	0.865633
28.9	0.865635
28.89	0.865637
28.88	0.865639
28.87	0.865641
28.86	0.865643
28.85	0.865646
28.84	0.865648
28.83	0.86565
28.82	0.865652
28.81	0.865654
28.8	0.865656
28.79	0.865658
28.78	0.865661
28.77	0.865663
28.76	0.865665
28.75	0.865667
28.74	0.865669
28.73	0.865671
28.72	0.865673
28.71	0.865676
28.7	0.865678
28.69	0.86568
28.68	0.865682
28.67	0.865684
28.66	0.865686
28.65	0.865689
28.64	0.865691
28.63	0.865693
28.62	0.865695
28.61	0.865697
28.6	0.865699
28.59	0.865701
28.58	0.865704
28.57	0.865706
28.56	0.865708
28.55	0.86571
28.54	0.865712
28.53	0.865715
28.52	0.865717
28.51	0.865719
28.5	0.865721
28.49	0.865723
28.48	0.865726
28.47	0.865728
28.46	0.86573
28.45	0.865732
28.44	0.865734
28.43	0.865736
28.42	0.865739
28.41	0.865741
28.4	0.865743
28.39	0.865745
28.38	0.865747
28.37	0.86575
28.36	0.865752
28.35	0.865754
28.34	0.865756
28.33	0.865758
28.32	0.865761
28.31	0.865763
28.3	0.865765
28.29	0.865767
28.28	0.86577
28.27	0.865772
28.26	0.865774
28.25	0.865776
28.24	0.865778
28.23	0.865781
28.22	0.865783
28.21	0.865785
28.2	0.865787
28.19	0.86579
28.18	0.865792
28.17	0.865794
28.16	0.865796
28.15	0.865799
28.14	0.865801
28.13	0.865803
28.12	0.865805
28.11	0.865808
28.1	0.86581
28.09	0.865812
28.08	0.865814
28.07	0.865817
28.06	0.865819
28.05	0.865821
28.04	0.865823
28.03	0.865826
28.02	0.865828
28.01	0.86583
28	0.865832
27.99	0.865835
27.98	0.865837
27.97	0.865839
27.96	0.865841
27.95	0.865844
27.94	0.865846
27.93	0.865848
27.92	0.865851
27.91	0.865853
27.9	0.865855
27.89	0.865857
27.88	0.86586
27.87	0.865862
27.86	0.865864
27.85	0.865866
27.84	0.865869
27.83	0.865871
27.82	0.865873
27.81	0.865876
27.8	0.865878
27.79	0.86588
27.78	0.865883
27.77	0.865885
27.76	0.865887
27.75	0.865889
27.74	0.865892
27.73	0.865894
27.72	0.865896
27.71	0.865899
27.7	0.865901
27.69	0.865903
27.68	0.865906
27.67	0.865908
27.66	0.86591
27.65	0.865913
27.64	0.865915
27.63	0.865917
27.62	0.86592
27.61	0.865922
27.6	0.865924
27.59	0.865927
27.58	0.865929
27.57	0.865931
27.56	0.865934
27.55	0.865936
27.54	0.865938
27.53	0.865941
27.52	0.865943
27.51	0.865945
27.5	0.865948
27.49	0.86595
27.48	0.865952
27.47	0.865955
27.46	0.865957
27.45	0.865959
27.44	0.865962
27.43	0.865964
27.42	0.865966
27.41	0.865969
27.4	0.865971
27.39	0.865974
27.38	0.865976
27.37	0.865978
27.36	0.865981
27.35	0.865983
27.34	0.865985
27.33	0.865988
27.32	0.86599
27.31	0.865993
27.3	0.865995
27.29	0.865997
27.28	0.866
27.27	0.866002
27.26	0.866005
27.25	0.866007
27.24	0.866009
27.23	0.866012
27.22	0.866014
27.21	0.866017
27.2	0.866019
27.19	0.866021
27.18	0.866024
27.17	0.866026
27.16	0.866028
27.15	0.866031
27.14	0.866033
27.13	0.866036
27.12	0.866038
27.11	0.866041
27.1	0.866043
27.09	0.866045
27.08	0.866048
27.07	0.86605
27.06	0.866053
27.05	0.866055
27.04	0.866058
27.03	0.86606
27.02	0.866062
27.01	0.866065
27	0.866067
26.99	0.86607
26.98	0.866072
26.97	0.866075
26.96	0.866077
26.95	0.866079
26.94	0.866082
26.93	0.866084
26.92	0.866087
26.91	0.866089
26.9	0.866092
26.89	0.866094
26.88	0.866097
26.87	0.866099
26.86	0.866102
26.85	0.866104
26.84	0.866106
26.83	0.866109
26.82	0.866111
26.81	0.866114
26.8	0.866116
26.79	0.866119
26.78	0.866121
26.77	0.866124
26.76	0.866126
26.75	0.866129
26.74	0.866131
26.73	0.866134
26.72	0.866136
26.71	0.866139
26.7	0.866141
26.69	0.866144
26.68	0.866146
26.67	0.866149
26.66	0.866151
26.65	0.866154
26.64	0.866156
26.63	0.866159
26.62	0.866161
26.61	0.866164
26.6	0.866166
26.59	0.866169
26.58	0.866171
