Significant	"-LOG10 p-value"	l2fc	Protein IDs	Majority protein IDs	Protein names	Gene	GO biological process ID	GO biological process	GO cellular component ID	GO cellular component	KEGG pathway ID	KEGG pathway title	GO molecular function ID	GO molecular function	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	4721	4945	4715	4718	4524	4722	4716	4717
	0.0995804314250824	0.311573028564453	NP_001001534	NP_001001534	ryanodine receptor 1	RYR1	GO:0001666;GO:0003151;GO:0006816;GO:0006936;GO:0014808;GO:0031000;GO:0034220;GO:0043588;GO:0043931;GO:0048741;GO:0051209;GO:0051289;GO:0051480;GO:0071277;GO:0071313;GO:1903779	calcium ion transport;cellular response to caffeine;cellular response to calcium ion;ion transmembrane transport;muscle contraction;ossification involved in bone maturation;outflow tract morphogenesis;protein homotetramerization;regulation of cardiac conduction;regulation of cytosolic calcium ion concentration;release of sequestered calcium ion into cytosol;release of sequestered calcium ion into cytosol by sarcoplasmic reticulum;response to caffeine;response to hypoxia;skeletal muscle fiber development;skin development	GO:0005737;GO:0005790;GO:0005886;GO:0005887;GO:0005938;GO:0014701;GO:0014802;GO:0016529;GO:0030018;GO:0030314;GO:0030315;GO:0030659;GO:0031301;GO:0031674;GO:0033017;GO:0034704;GO:0042383;GO:0070062;GO:1990425	calcium channel complex;cell cortex;cytoplasm;cytoplasmic vesicle membrane;extracellular exosome;I band;integral component of organelle membrane;integral component of plasma membrane;junctional membrane complex;junctional sarcoplasmic reticulum membrane;plasma membrane;ryanodine receptor complex;sarcolemma;sarcoplasmic reticulum;sarcoplasmic reticulum membrane;smooth endoplasmic reticulum;terminal cisterna;T-tubule;Z disc	hsa04020;hsa04713;hsa04730;hsa04921	Calcium signaling pathway;Circadian entrainment;Long-term depression;Oxytocin signaling pathway	GO:0002020;GO:0005219;GO:0005245;GO:0005262;GO:0005509;GO:0005515;GO:0005516;GO:0005524;GO:0015278;GO:0048763	ATP binding;calcium channel activity;calcium ion binding;calcium-induced calcium release activity;calcium-release channel activity;calmodulin binding;protease binding;protein binding;ryanodine-sensitive calcium-release channel activity;voltage-gated calcium channel activity	2	2	2	0.6	0.6	0.6	565.15	0.00074001	2.8668	850000000	18	27.20555115	23.5217247	27.21465683	27.40551758	27.23981667	24.36663437	26.91262245	25.58208466
	0.338970686114259	-0.216113090515137	NP_001001535;XP_020930326	NP_001001535;XP_020930326	desmin;desmin isoform X1	DES	GO:0006936;GO:0007010;GO:0008016;GO:0030049;GO:0045109	cytoskeleton organization;intermediate filament organization;muscle contraction;muscle filament sliding;regulation of heart contraction	GO:0005634;GO:0005829;GO:0005882;GO:0005916;GO:0014704;GO:0030018;GO:0031594;GO:0042383;GO:0045111;GO:0070062;GO:0097512	cardiac myofibril;cytosol;extracellular exosome;fascia adherens;intercalated disc;intermediate filament;intermediate filament cytoskeleton;neuromuscular junction;nucleus;sarcolemma;Z disc	hsa05410;hsa05412;hsa05414	Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy;Hypertrophic cardiomyopathy (HCM)	GO:0005200;GO:0005515;GO:0008092;GO:0042802	cytoskeletal protein binding;identical protein binding;protein binding;structural constituent of cytoskeleton	20	16	16	53.3	46.9	46.9	53.628	0	199.61	1823100000	83	28.03349113	27.37782478	28.0479641	27.28841591	28.17178726	27.38467407	28.11490631	27.94078064
	1.23785028844105	0.213772773742676	NP_001001539;XP_020934157;XP_020934156	NP_001001539;XP_020934157;XP_020934156	aldo-keto reductase family 1 member B1;aldose reductase isoform X1;aldose reductase isoform X1	AKR1B1	GO:0001523;GO:0001894;GO:0002070;GO:0003091;GO:0005975;GO:0006061;GO:0006700;GO:0009414;GO:0018931;GO:0022900;GO:0031098;GO:0035809;GO:0042415;GO:0042572;GO:0043066;GO:0044597;GO:0044598;GO:0046370;GO:0046427;GO:0048661;GO:0055114;GO:0060135;GO:0071475;GO:0072061;GO:0072205;GO:0097066;GO:0097238;GO:1901653	C21-steroid hormone biosynthetic process;carbohydrate metabolic process;cellular hyperosmotic salinity response;cellular response to methylglyoxal;cellular response to peptide;daunorubicin metabolic process;doxorubicin metabolic process;electron transport chain;epithelial cell maturation;fructose biosynthetic process;inner medullary collecting duct development;maternal process involved in female pregnancy;metanephric collecting duct development;naphthalene metabolic process;negative regulation of apoptotic process;norepinephrine metabolic process;oxidation-reduction process;positive regulation of JAK-STAT cascade;positive regulation of smooth muscle cell proliferation;regulation of urine volume;renal water homeostasis;response to thyroid hormone;response to water deprivation;retinoid metabolic process;retinol metabolic process;sorbitol biosynthetic process;stress-activated protein kinase signaling cascade;tissue homeostasis	GO:0005615;GO:0005654;GO:0005829;GO:0032838;GO:0033010;GO:0042629;GO:0043220;GO:0048471;GO:0070062;GO:0097454	cell projection cytoplasm;cytosol;extracellular exosome;extracellular space;mast cell granule;nucleoplasm;paranodal junction;perinuclear region of cytoplasm;Schmidt-Lanterman incisure;Schwann cell microvillus	hsa00040;hsa00051;hsa00052;hsa00561;hsa01100	Fructose and mannose metabolism;Galactose metabolism;Glycerolipid metabolism;Metabolic pathways;Pentose and glucuronate interconversions	GO:0001758;GO:0004032;GO:0008106;GO:0009055;GO:0016491;GO:0043795;GO:0047655;GO:0052650	alcohol dehydrogenase (NADP+) activity;alditol:NADP+ 1-oxidoreductase activity;allyl-alcohol dehydrogenase activity;electron carrier activity;glyceraldehyde oxidoreductase activity;NADP-retinol dehydrogenase activity;oxidoreductase activity;retinal dehydrogenase activity	15	15	14	71.8	71.8	69	35.867	0	251.18	13372000000	172	30.75429916	30.64915848	30.80839157	30.78308296	30.77721596	30.4900856	30.38494301	30.48759651
	0.779931829000749	0.128544330596924	NP_001001542	NP_001001542	sodium/potassium-transporting ATPase subunit beta-1	ATP1B1	GO:0001666;GO:0006874;GO:0006883;GO:0007155;GO:0010248;GO:0010468;GO:0010882;GO:0030007;GO:0032781;GO:0034220;GO:0035725;GO:0036376;GO:0044861;GO:0046034;GO:0050821;GO:0050900;GO:0055119;GO:0060048;GO:0071805;GO:0072659;GO:0086009;GO:0086013;GO:0086064;GO:0098655;GO:1901018;GO:1903278;GO:1903281;GO:1903288;GO:1903779;GO:1990573	ATP metabolic process;cardiac muscle contraction;cation transmembrane transport;cell adhesion;cell communication by electrical coupling involved in cardiac conduction;cellular calcium ion homeostasis;cellular potassium ion homeostasis;cellular sodium ion homeostasis;establishment or maintenance of transmembrane electrochemical gradient;ion transmembrane transport;leukocyte migration;membrane repolarization;membrane repolarization during cardiac muscle cell action potential;positive regulation of ATPase activity;positive regulation of calcium:sodium antiporter activity;positive regulation of potassium ion import;positive regulation of potassium ion transmembrane transporter activity;positive regulation of sodium ion export from cell;potassium ion import across plasma membrane;potassium ion transmembrane transport;protein localization to plasma membrane;protein stabilization;protein transport into plasma membrane raft;regulation of cardiac conduction;regulation of cardiac muscle contraction by calcium ion signaling;regulation of gene expression;relaxation of cardiac muscle;response to hypoxia;sodium ion export from cell;sodium ion transmembrane transport	GO:0005886;GO:0005890;GO:0005901;GO:0014704;GO:0016020;GO:0016323;GO:0016324;GO:0016328;GO:0030315;GO:0031090;GO:0036126;GO:0042383;GO:0070062;GO:1903561	apical plasma membrane;basolateral plasma membrane;caveola;extracellular exosome;extracellular vesicle;intercalated disc;lateral plasma membrane;membrane;organelle membrane;plasma membrane;sarcolemma;sodium:potassium-exchanging ATPase complex;sperm flagellum;T-tubule	hsa04022;hsa04024;hsa04260;hsa04261;hsa04911;hsa04918;hsa04919;hsa04960;hsa04961;hsa04964;hsa04970;hsa04971;hsa04972;hsa04973;hsa04974;hsa04976;hsa04978	Adrenergic signaling in cardiomyocytes;Aldosterone-regulated sodium reabsorption;Bile secretion;cAMP signaling pathway;Carbohydrate digestion and absorption;Cardiac muscle contraction;cGMP-PKG signaling pathway;Endocrine and other factor-regulated calcium reabsorption;Gastric acid secretion;Insulin secretion;Mineral absorption;Pancreatic secretion;Protein digestion and absorption;Proximal tubule bicarbonate reclamation;Salivary secretion;Thyroid hormone signaling pathway;Thyroid hormone synthesis	GO:0001671;GO:0005391;GO:0005515;GO:0005524;GO:0008022;GO:0008144;GO:0016887;GO:0019829;GO:0019901;GO:0023026;GO:0030955;GO:0031402;GO:0046982;GO:0051117	ATP binding;ATPase activator activity;ATPase activity;ATPase binding;cation-transporting ATPase activity;drug binding;MHC class II protein complex binding;potassium ion binding;protein binding;protein C-terminus binding;protein heterodimerization activity;protein kinase binding;sodium ion binding;sodium:potassium-exchanging ATPase activity	12	12	12	37.3	37.3	37.3	35.126	0	164.41	6716800000	121	29.77332115	29.74313545	29.54692268	29.77539635	29.66028786	29.58459282	29.67047119	29.40924644
	0.689716164780923	-0.124618530273438	XP_013842818;NP_001001587	XP_013842818;NP_001001587	40S ribosomal protein S28 isoform X1;40S ribosomal protein S28	RPS28	GO:0000028;GO:0000184;GO:0002181;GO:0006364;GO:0006412;GO:0006413;GO:0006614;GO:0019083;GO:0030490;GO:0042254;GO:0042274	cytoplasmic translation;maturation of SSU-rRNA;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;ribosomal small subunit assembly;ribosomal small subunit biogenesis;ribosome biogenesis;rRNA processing;SRP-dependent cotranslational protein targeting to membrane;translation;translational initiation;viral transcription	GO:0005654;GO:0005829;GO:0015935;GO:0022627;GO:0042788;GO:0070062;GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane;cytosol;cytosolic small ribosomal subunit;extracellular exosome;nucleoplasm;polysomal ribosome;small ribosomal subunit	hsa03010	Ribosome	GO:0003723;GO:0003735;GO:0005515	protein binding;RNA binding;structural constituent of ribosome	3	3	3	36.2	36.2	36.2	7.8409	0	13.058	2417100000	22	28.06620026	27.97961998	27.99015617	28.24022675	28.11897087	28.06286049	28.34418106	28.24866486
	1.02251697249529	0.15214729309082	XP_005663427;NP_001001632;XP_005663431;XP_005663430;XP_020944392;XP_020944391;XP_020944393;XP_013852498;XP_005663433	XP_005663427;NP_001001632;XP_005663431;XP_005663430;XP_020944392;XP_020944391	tropomyosin alpha-3 chain isoform X15;tropomyosin alpha-3 chain;tropomyosin alpha-3 chain isoform X17;tropomyosin alpha-3 chain isoform X18;tropomyosin alpha-3 chain isoform X11;tropomyosin alpha-3 chain isoform X10	TPM3	GO:0006936;GO:0007015;GO:0030049	actin filament organization;muscle contraction;muscle filament sliding	GO:0001725;GO:0005829;GO:0005856;GO:0005862;GO:0005884;GO:0015629;GO:0070062	actin cytoskeleton;actin filament;cytoskeleton;cytosol;extracellular exosome;muscle thin filament tropomyosin;stress fiber	hsa04260;hsa04261;hsa05200;hsa05216;hsa05410;hsa05414	Adrenergic signaling in cardiomyocytes;Cardiac muscle contraction;Dilated cardiomyopathy;Hypertrophic cardiomyopathy (HCM);Pathways in cancer;Thyroid cancer	GO:0003674;GO:0005515;GO:0051015	actin filament binding;molecular_function;protein binding	27	27	0	64.1	64.1	0	28.87	0	323.31	34765000000	409	32.02749252	32.13959122	32.06303787	32.01780319	32.01028824	31.96526718	31.96667671	31.6971035
+	1.33392274366649	1.62862014770508	NP_001001633	NP_001001633	40S ribosomal protein S29	RPS29	GO:0000184;GO:0002181;GO:0006412;GO:0006413;GO:0006614;GO:0019083	cytoplasmic translation;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;SRP-dependent cotranslational protein targeting to membrane;translation;translational initiation;viral transcription	GO:0005654;GO:0005829;GO:0005925;GO:0015935;GO:0022627;GO:0042788;GO:0070062;GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane;cytosol;cytosolic small ribosomal subunit;extracellular exosome;focal adhesion;nucleoplasm;polysomal ribosome;small ribosomal subunit	hsa03010	Ribosome	GO:0003735;GO:0008270	structural constituent of ribosome;zinc ion binding	3	3	3	33.9	33.9	33.9	6.6767	0	6.9345	979270000	67	26.99107552	27.04061508	26.65799141	26.66952515	26.2153244	25.44871902	23.34126282	25.83942032
	0.509706338248766	0.0955238342285156	NP_001001634	NP_001001634	40S ribosomal protein S17	RPS17	GO:0000184;GO:0006364;GO:0006412;GO:0006413;GO:0006614;GO:0019083;GO:0034101;GO:0042274	erythrocyte homeostasis;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;ribosomal small subunit biogenesis;rRNA processing;SRP-dependent cotranslational protein targeting to membrane;translation;translational initiation;viral transcription	GO:0005654;GO:0005829;GO:0005840;GO:0005925;GO:0016020;GO:0022627;GO:0045202	cytosol;cytosolic small ribosomal subunit;focal adhesion;membrane;nucleoplasm;ribosome;synapse	hsa03010	Ribosome	GO:0003723;GO:0003735	RNA binding;structural constituent of ribosome	9	9	9	53.3	53.3	53.3	15.524	0	248.74	6542300000	122	29.54736328	29.73587799	29.72173882	29.65297508	29.48845863	29.42372131	29.59972763	29.76395226
	0.102939227276724	0.0462660789489746	NP_001001635	NP_001001635	eukaryotic translation initiation factor 1b	EIF1B	GO:0006413;GO:0006446	regulation of translational initiation;translational initiation	GO:0005575;GO:0016282	cellular_component;eukaryotic 43S preinitiation complex	hsa03013	RNA transport	GO:0003723;GO:0003743;GO:0043024	ribosomal small subunit binding;RNA binding;translation initiation factor activity	7	2	2	81.4	45.1	45.1	12.823	0	13.287	316240000	21	24.94864464	25.62742233	25.34465408	25.20037651	25.14887619	25.0367012	25.35470963	25.39574623
	0.722986643752017	0.627147197723389	NP_001001636;XP_020924241;XP_020955745	NP_001001636;XP_020924241	60S ribosomal protein L32;60S ribosomal protein L32 isoform X1	RPL32	GO:0000184;GO:0002181;GO:0006412;GO:0006413;GO:0006614;GO:0019083	cytoplasmic translation;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;SRP-dependent cotranslational protein targeting to membrane;translation;translational initiation;viral transcription	GO:0005829;GO:0016020;GO:0022625;GO:0042788	cytosol;cytosolic large ribosomal subunit;membrane;polysomal ribosome	hsa03010	Ribosome	GO:0003723;GO:0003735	RNA binding;structural constituent of ribosome	5	5	5	35.6	35.6	35.6	15.86	0	42.177	2423400000	27	28.13613892	29.06396484	28.14165497	28.07816315	27.65417099	27.00281715	27.56565285	28.68869209
