Significant,-LOG10 p-value,l2fc,Protein IDs,Majority protein IDs,Protein names,Gene,4721,4945,4715,4718,4524,4722,4716,4717
,0.0995804314250824,0.311573028564453,NP_001001534,NP_001001534,ryanodine receptor 1,RYR1,27.20555115,23.5217247,27.21465683,27.40551758,27.23981667,24.36663437,26.91262245,25.58208466
,0.338970686114259,-0.216113090515137,NP_001001535;XP_020930326,NP_001001535;XP_020930326,desmin;desmin isoform X1,DES,28.03349113,27.37782478,28.0479641,27.28841591,28.17178726,27.38467407,28.11490631,27.94078064
,1.23785028844105,0.213772773742676,NP_001001539;XP_020934157;XP_020934156,NP_001001539;XP_020934157;XP_020934156,aldo-keto reductase family 1 member B1;aldose reductase isoform X1;aldose reductase isoform X1,AKR1B1,30.75429916,30.64915848,30.80839157,30.78308296,30.77721596,30.4900856,30.38494301,30.48759651
,0.779931829000749,0.128544330596924,NP_001001542,NP_001001542,sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,29.77332115,29.74313545,29.54692268,29.77539635,29.66028786,29.58459282,29.67047119,29.40924644
,0.689716164780923,-0.124618530273438,XP_013842818;NP_001001587,XP_013842818;NP_001001587,40S ribosomal protein S28 isoform X1;40S ribosomal protein S28,RPS28,28.06620026,27.97961998,27.99015617,28.24022675,28.11897087,28.06286049,28.34418106,28.24866486
,1.02251697249529,0.15214729309082,XP_005663427;NP_001001632;XP_005663431;XP_005663430;XP_020944392;XP_020944391;XP_020944393;XP_013852498;XP_005663433,XP_005663427;NP_001001632;XP_005663431;XP_005663430;XP_020944392;XP_020944391,tropomyosin alpha-3 chain isoform X15;tropomyosin alpha-3 chain;tropomyosin alpha-3 chain isoform X17;tropomyosin alpha-3 chain isoform X18;tropomyosin alpha-3 chain isoform X11;tropomyosin alpha-3 chain isoform X10,TPM3,32.02749252,32.13959122,32.06303787,32.01780319,32.01028824,31.96526718,31.96667671,31.6971035
+,1.33392274366649,1.62862014770508,NP_001001633,NP_001001633,40S ribosomal protein S29,RPS29,26.99107552,27.04061508,26.65799141,26.66952515,26.2153244,25.44871902,23.34126282,25.83942032
,0.509706338248766,0.0955238342285156,NP_001001634,NP_001001634,40S ribosomal protein S17,RPS17,29.54736328,29.73587799,29.72173882,29.65297508,29.48845863,29.42372131,29.59972763,29.76395226
,0.102939227276724,0.0462660789489746,NP_001001635,NP_001001635,eukaryotic translation initiation factor 1b,EIF1B,24.94864464,25.62742233,25.34465408,25.20037651,25.14887619,25.0367012,25.35470963,25.39574623
,0.722986643752017,0.627147197723389,NP_001001636;XP_020924241;XP_020955745,NP_001001636;XP_020924241,60S ribosomal protein L32;60S ribosomal protein L32 isoform X1,RPL32,28.13613892,29.06396484,28.14165497,28.07816315,27.65417099,27.00281715,27.56565285,28.68869209
,0.102056571926479,0.402490139007568,NP_001001638,NP_001001638,60S ribosomal protein L11,RPL11,24.72920227,28.84023094,28.85349846,28.85682678,28.44343948,24.37874222,28.13902283,28.70859337
,1.24183341425238,-0.184262752532959,NP_001001640,NP_001001640,amine oxidase,MAOA,29.3562603,29.34948349,29.07719421,29.29180145,29.41035843,29.35129738,29.52842903,29.52170563
+,1.58950176878207,0.561108112335205,NP_001001641,NP_001001641,bifunctional epoxide hydrolase 2,EPHX2,27.91170883,27.50476074,27.70872498,27.66329575,27.53756714,26.85863495,27.30303955,26.84481621
,1.72512605188766,0.161576271057129,NP_001001643,NP_001001643,rab GDP dissociation inhibitor beta,GDI2,31.06560898,31.15279388,31.184412,31.12330627,31.06676483,31.02181244,30.89749718,30.89374161
,1.76727599344658,0.192875862121582,NP_001001770,NP_001001770,cytochrome b5,CYB5A,29.86839867,29.77867317,29.81825638,29.6486969,29.68972588,29.53665924,29.54148674,29.57464981
+,1.67090489549506,-0.731166362762451,NP_001001771,NP_001001771,fibrillin-1 precursor,FBN1,30.20408249,30.01132011,29.84484673,29.46730995,30.43599129,30.5298996,31.13375282,30.35258102
,0.447704801309036,-0.23853063583374,NP_001001866,NP_001001866,copper chaperone for superoxide dismutase,CCS,23.95162773,24.37510872,24.91838837,24.76172256,24.76233101,25.0142746,24.53800964,24.64635468
,0.166472431626201,-0.115671157836914,NP_001001867,NP_001001867,galectin-1,LGALS1,29.84246635,29.80299568,29.71507454,29.40098572,30.43956184,29.41062164,29.96856689,29.40545654
,0.529560471188992,-0.227040767669678,NP_001001869,NP_001001869,E3 ubiquitin-protein ligase RNF114,RNF114,26.08375168,25.89293671,26.0726738,25.83419609,26.30857086,26.54127884,25.66277885,26.27909279
,0.412051870510422,-0.469727993011475,XP_020957907;XP_020957906;XP_005667429;NP_001002801,XP_020957907;XP_020957906;XP_005667429;NP_001002801,apolipoprotein C-III isoform X1;apolipoprotein C-III isoform X1;apolipoprotein C-III isoform X1;apolipoprotein C-III precursor,APOC3,27.31544495,26.68324661,25.82057953,26.79116631,26.411623,28.22894287,27.13310432,26.71567917
+,3.98921916754811,-2.201096534729,NP_001002817;XP_020944152;NP_001171994,NP_001002817,"fatty acid-binding protein, adipocyte",FABP4,27.54921913,27.58963776,26.91843414,26.91125107,29.40163803,29.58663368,29.74885559,29.03580093
,0.523501525011899,0.0674548149108887,NP_001004031;XP_020932974,NP_001004031;XP_020932974,destrin;destrin isoform X1,DSTN,29.14085197,29.244133,29.2606926,29.14197159,29.21904945,29.02683449,29.06092834,29.21101761
,0.791159456414048,-0.1469407081604,NP_001004042,NP_001004042,V-type proton ATPase catalytic subunit A,ATP6V1A,31.38355255,31.48927116,31.59801483,31.60461235,31.46182823,31.6454277,31.8080864,31.7478714
,0.27993735380655,0.047182559967041,NP_001004043,NP_001004043,cofilin-1,CFL1,32.09719849,32.06702042,32.16755295,32.07546234,32.23785782,32.06152725,31.94076729,31.97835159
,0.932115116085835,0.124256610870361,NP_001004050;XP_020939260,NP_001004050;XP_020939260,prolyl endopeptidase;prolyl endopeptidase isoform X1,PREP,28.26333618,28.11137772,28.40657234,28.35766602,28.15860748,28.18068123,28.19629288,28.10634422
,0.685574461021187,-0.0546150207519531,XP_005665851;XP_005665850;NP_001005157;XP_005665849;XP_020954000;XP_003123418,XP_005665851;XP_005665850;NP_001005157;XP_005665849;XP_020954000;XP_003123418,spliceosome RNA helicase DDX39B isoform X3;spliceosome RNA helicase DDX39B isoform X3;spliceosome RNA helicase DDX39B;spliceosome RNA helicase DDX39B isoform X2;spliceosome RNA helicase DDX39B isoform X1;LOW QUALITY PROTEIN: ATP-dependent RNA helicase DDX3,DDX39B,30.83499908,30.80770111,30.95705414,30.8413868,30.89713669,30.97172165,30.90942001,30.88132286
,0.0164369858718725,0.00479984283447266,NP_001005208;CON__P02769,NP_001005208,serum albumin precursor,ALB,37.54121017,37.32805634,37.29507065,37.47145462,37.27299881,37.56084061,37.26034927,37.52240372
